Agency,,Total spend (approx),Number of purchases
"Washakie County School District #1, Wyoming",,NDA,NDA
"Wilson County Schools, North Carolina",,NDA,NDA
"Vance County Schools, North Carolina",,NDA,NDA
"Buckeye Central Local School District, Ohio",,NDA,NDA
"Endless Mountains Transportation Authority (BeST Transit), Pennsylvania",,NDA,NDA
"Town of Falmouth, Massachusetts",,NDA,NDA
"Whitehouse Independent School District, Texas",,NDA,NDA
"Excelsior Springs School District, Missouri",,NDA,NDA
"New Hartford Central School District, New York",,NDA,NDA
"Pearsall Independent School District, Texas",,NDA,NDA
"University City School District, Missouri",,NDA,NDA
"Levittown Union Free School District, New York",,NDA,NDA
"Eureka School District 44-1, South Dakota",,NDA,NDA
"Benton Area School District, Pennsylvania",,NDA,NDA
"Alisal High School, California",,NDA,NDA
"Fullerton Joint Union High School District, California",,NDA,NDA
"Washington School District, Missouri",,NDA,NDA
"Vineland City School District, New Jersey",,NDA,NDA
"Prairie Hill Community School District No. 133 , Illinois",,NDA,NDA
"Shoreline Public Schools, Washington",,NDA,NDA
"Town of Walpole, Massachusetts",,NDA,NDA
"Alton Community Unit School District No. 11, Illinois",,NDA,NDA
"Ashwaubenon School District, Wisconsin",,NDA,NDA
"St. Charles Community Schools, Michigan",,NDA,NDA
"Palo Verde Unified School District, California",,NDA,NDA
"McLean County Unit District No. 5, Illinois",,NDA,NDA
"Hall County Schools, Georgia",,NDA,NDA
"Van Dyke Public Schools, Michigan",,NDA,NDA
"Webster Groves School District, Missouri",,NDA,NDA
"Enfield Public School System, Connecticut",,NDA,NDA
"Franklin Pierce School District, Washington",,NDA,NDA
"Ione School District #R2, Oregon",,NDA,NDA
"Lexington Independent School District, Texas",,NDA,NDA
"Loudoun County Public Schools, Virginia",,NDA,NDA
"Rio School District, California",,NDA,NDA
"Waterloo Schools, Iowa",,NDA,NDA
"Denver Public Schools, Colorado",,NDA,NDA
"Circleville City School District, Ohio",,NDA,NDA
"Mead School District, Washington",,NDA,NDA
"Muncie Community Schools, Indiana",,NDA,NDA
"Gates Chili Central School District, New York",,NDA,NDA
"New Bedford Global Learning Charter School, Massachusetts",,NDA,NDA
"Durham Public Schools, North Carolina",,NDA,NDA
"University of Texas At El Paso, Texas",,NDA,NDA
"Bordentown Regional School District, New Jersey",,NDA,NDA
"La Tercera Elementary School, California",,NDA,NDA
"Benton Junior High School, Arkansas",,NDA,NDA
"San Miguel Elementary, California",,NDA,NDA
"St. John the Baptist Parish Schools, Louisiana",,NDA,NDA
"Crete Public Schools, Nebraska",,NDA,NDA
"Anacortes School District, Washington",,NDA,NDA
"Hickory Public Schools, North Carolina",,NDA,NDA
"Lapeer Community Schools, Michigan",,NDA,NDA
"Crawford Central School District, Pennsylvania",,NDA,NDA
"Newark Unified School District, California",,NDA,NDA
"Lafayette Parish School System, Louisiana",,NDA,NDA
"Cincinnatus Central School District, New York",,NDA,NDA
"Beverly Hills STEM Elementary, North Carolina",,NDA,NDA
"Bugg Magnet Elementary School, North Carolina",,NDA,NDA
"Greensburg Community Schools, Indiana",,NDA,NDA
"Lytle Independent School District No. 904, Texas",,NDA,NDA
"Porterville Unified School District, California",,NDA,NDA
"St.Croix Central School District, Wisconsin",,NDA,NDA
"Warden School District, Washington",,NDA,NDA
"University of California - Santa Barbara, California",,NDA,NDA
"Cooperative Educational Service Agency 11, Wisconsin",,NDA,NDA
"Capitan School District, New Mexico",,NDA,NDA
"Marshall County Schools, West Virginia",,NDA,NDA
"North Brunswick Township School District, New Jersey",,NDA,NDA
"Town of Ashland, Massachusetts",,NDA,NDA
"Bossier Parish Schools, Louisiana",,NDA,NDA
"Akron Central School District, New York",,NDA,NDA
"Department of the Treasury - GSA, District of Columbia",,NDA,NDA
"Mansfield Independent School District, Texas",,NDA,NDA
"Cupertino Union School District, California",,NDA,NDA
"Sharpstown International School, Texas",,NDA,NDA
"Lee's Summit R-VII School District, Missouri",,NDA,NDA
"Minot Public School District, North Dakota",,NDA,NDA
"South Texas Independent School District, Texas",,NDA,NDA
"Brookville Local School District, Ohio",,NDA,NDA
"Orchard Middle School Wenatchee, Washington",,NDA,NDA
"Dennis-Yarmouth Regional School District, Massachusetts",,NDA,NDA
"City Schools of Decatur, Georgia",,NDA,NDA
"Town of Westerly, Rhode Island",,NDA,NDA
"Westerly Public Schools, Rhode Island",,NDA,NDA
"Findlay City School District, Ohio",,NDA,NDA
"Fairport Central School District, New York",,NDA,NDA
"Jackson Public Schools, Michigan",,NDA,NDA
"Medford School District No. 549C, Oregon",,NDA,NDA
"Walker Public Schools, Georgia",,NDA,NDA
"Beaufort County School District, South Carolina",,NDA,NDA
"Belle Plaine Schools, Minnesota",,NDA,NDA
"Big Walnut Local School District, Ohio",,NDA,NDA
"Monroe County Intermediate School District, Michigan",,NDA,NDA
"Starpoint Central School District, New York",,NDA,NDA
"Williamsville Central School District, New York",,NDA,NDA
"Middletown Township School District, New Jersey",,NDA,NDA
"Lincoln Public Schools, Massachusetts",,NDA,NDA
"Richland School District, Wisconsin",,NDA,NDA
"Versailles Exempted Village School District, Ohio",,NDA,NDA
"Union County School District, Florida",,NDA,NDA
"Kennewick School District, Washington",,NDA,NDA
"City of Hartford, Connecticut",,NDA,NDA
"Danville Community Consolidated School District No. 118, Illinois",,NDA,NDA
"Panorama Community School District, Iowa",,NDA,NDA
"Panorama Middle & High School, Iowa",,NDA,NDA
"Sayre Area School District, Pennsylvania",,NDA,NDA
"Chambersburg Area School District, Pennsylvania",,NDA,NDA
"West Branch Area School District, Pennsylvania",,NDA,NDA
"Tuloso-Midway Independent School District, Texas",,NDA,NDA
"Blackstone-Millville Regional School District, Massachusetts",,NDA,NDA
"Rolla School District No. 31, Missouri",,NDA,NDA
"Caledonia Community Schools, Michigan",,NDA,NDA
"Shenango Area School District, Pennsylvania",,NDA,NDA
"Needham Public Schools, Massachusetts",,NDA,NDA
"Metropolitan School District of Lawrence Township, Indiana",,NDA,NDA
"Amherst-Pelham School District, Massachusetts",,NDA,NDA
"Caddo Mills Independent School District, Texas",,NDA,NDA
"Layton High School, Utah",,NDA,NDA
"Weber Innovation High School, Utah",,NDA,NDA
"Weber School District, Utah",,NDA,NDA
"Gateway School District, Pennsylvania",,NDA,NDA
"Batesville School District, Arkansas",,NDA,NDA
"Isle of Wight County Public School District, Virginia",,NDA,NDA
"Allentown School District, Pennsylvania",,NDA,NDA
"Georgia Southern University, Georgia",,NDA,NDA
"Walnut Valley Unified School District, California",,NDA,NDA
"Grady County Schools, Georgia",,NDA,NDA
"Lake Hamilton School District, Arkansas",,NDA,NDA
"Abington School District, Pennsylvania",,NDA,NDA
"Marion County Public Schools, Florida",,NDA,NDA
"Abraham Lincoln High School, Pennsylvania",,NDA,NDA
"Boulder Preparatory High School, Colorado",,NDA,NDA
"Amherst Central School District, New York",,NDA,NDA
"Science Museum of Virginia, Virginia",,NDA,NDA
"Woodford County High School, Kentucky",,NDA,NDA
"Wallkill Central School District, New York",,NDA,NDA
"Burkburnett Independent School District, Texas",,NDA,NDA
"Kiona-Benton City School District, Washington",,NDA,NDA
"Carmichaels Area School District, Pennsylvania",,NDA,NDA
"Cazenovia Central School District, New York",,NDA,NDA
"Clarksville-Montgomery School System, Tennessee",,NDA,NDA
"Stockton Unified School District, California",,NDA,NDA
"Town of Middletown, Rhode Island",,NDA,NDA
"Bonham Independent School District, Texas",,NDA,NDA
"Macomb Community College, Michigan",,NDA,NDA
"Rio Rancho Public Schools #94, New Mexico",,NDA,NDA
"Newport High School, Washington",,NDA,NDA
"Kings Local School District, Ohio",,NDA,NDA
"A.C.G.C. School District, Minnesota",,NDA,NDA
"Beeville Independent School District, Texas",,NDA,NDA
"Little Cypress-Mauriceville Consolidated Independent School District, Texas",,NDA,NDA
"Northwest Local School District (Canal Fulton), Ohio",,NDA,NDA
"Oakland Borough School District, New Jersey",,NDA,NDA
"Iberville Parish Schools, Louisiana",,NDA,NDA
"Auburn School District, Washington",,NDA,NDA
"Barrington School District, Rhode Island",,NDA,NDA
"Danville Community College, Virginia",,NDA,NDA
"West Seneca Central School District, New York",,NDA,NDA
"James Denman Middle School, California",,NDA,NDA
"Birdville Independent School District, Texas",,NDA,NDA
"Texas State University, Texas",,NDA,NDA
"Los Angeles Community College District, California",,NDA,NDA
"Orange County Sheriff's Office, Florida",,NDA,NDA
"Putnam Valley Central School District, New York",,NDA,NDA
"Los Angeles Valley College, California",,NDA,NDA
"Antietam School District, Pennsylvania",,NDA,NDA
"Royal Oak Schools, Michigan",,NDA,NDA
"Batesville Community School Corporation, Indiana",,NDA,NDA
"Newmarket Elementary School, New Hampshire",,NDA,NDA
"Kansas City Public Schools, Missouri",,NDA,NDA
"Egg Harbor Township School District, New Jersey",,NDA,NDA
"Galway Central School District, New York",,NDA,NDA
"Riverview School District, Pennsylvania",,NDA,NDA
"Framingham Public Schools, Massachusetts",,NDA,NDA
"Lamar Consolidated Independent School District, Texas",,NDA,NDA
"Leestown Middle School, Kentucky",,NDA,NDA
"Bedminster Township School District, New Jersey",,NDA,NDA
"Greenville Public Schools, Michigan",,NDA,NDA
"Hinckley-Big Rock CUSD #429, Illinois",,NDA,NDA
"Westminster School District, California",,NDA,NDA
"Pershing Middle School, Texas",,NDA,NDA
"La Puente Valley ROP, California",,NDA,NDA
"Wilson School District, Pennsylvania",,NDA,NDA
"Benton School District, Arkansas",,NDA,NDA
"Eberhart Elementary School, Illinois",,NDA,NDA
"Girard School District, Pennsylvania",,NDA,NDA
"Wanaque Borough School District, New Jersey",,NDA,NDA
"Leominster Public Schools, Massachusetts",,NDA,NDA
"Dracut Public Schools, Massachusetts",,NDA,NDA
"Laguna High School, California",,NDA,NDA
"Streetsboro City School District, Ohio",,NDA,NDA
"Stokes County Schools, North Carolina",,NDA,NDA
"Lacey Township School District, New Jersey",,NDA,NDA
"Louisiana Tech University, Louisiana",,NDA,NDA
"New Hope-Solebury School District, Pennsylvania",,NDA,NDA
"North Carolina State University, North Carolina",,NDA,NDA
"University of Minnesota, Minnesota",,NDA,NDA
"Litchfield School District SAU #27, New Hampshire",,NDA,NDA
"Acton School Department, Maine",,NDA,NDA
"University of Connecticut Health Center, Connecticut",,NDA,NDA
"Ithaca Public Schools, Michigan",,NDA,NDA
"Georgia Department of Revenue, Georgia",,NDA,NDA
"Sturgeon Bay School District, Wisconsin",,NDA,NDA
"Macomb Intermediate School District, Michigan",,NDA,NDA
"Ohio State University, Ohio",,NDA,NDA
"Mountain Gateway Community College, Virginia",,NDA,NDA
"Barron Area School District, Wisconsin",,NDA,NDA
"Bryan Independent School District, Texas",,NDA,NDA
"Vinton County Local School District, Ohio",,NDA,NDA
"Grossmont Union High School District, California",,NDA,NDA
"Branchburg Township School District, New Jersey",,NDA,NDA
"Soquel Creek Water District, California",,NDA,NDA
"Essex County Schools Of Technology, New Jersey",,NDA,NDA
"Galena Unit School District 120, Illinois",,NDA,NDA
"Ronan School District No. 30, Montana",,NDA,NDA
"Fort Smith Public Schools, Arkansas",,NDA,NDA
"Chatham County School District, Georgia",,NDA,NDA
"Blytheville School District, Arkansas",,NDA,NDA
"Forney Independent School District, Texas",,NDA,NDA
"Escanaba Area Public Schools, Michigan",,NDA,NDA
"School District of Fort Atkinson, Wisconsin",,NDA,NDA
"Franklin West Supervisory Union, Vermont",,NDA,NDA
"City of Somerville, Massachusetts",,NDA,NDA
"Franklin County Schools, North Carolina",,NDA,NDA
"Rhode Island Department of Education, Rhode Island",,NDA,NDA
"Richardson ISD, Texas",,NDA,NDA
"Neosho R-V School District, Missouri",,NDA,NDA
"City of Melrose, Massachusetts",,NDA,NDA
"Melrose Public Schools, Massachusetts",,NDA,NDA
"San Joaquin County Office of Education, California",,NDA,NDA
"Sonoma County Community College District, California",,NDA,NDA
"Central Park Elementary School, Florida",,NDA,NDA
"Holly Area Schools, Michigan",,NDA,NDA
"Hackettstown Town School District, New Jersey",,NDA,NDA
"Kingdom East Unified Union School District, Vermont",,NDA,NDA
"New York City School District #19, New York",,NDA,NDA
"Glendale Unified School District, California",,NDA,NDA
"Department of Arkansas State Police, Arkansas",,NDA,NDA
"University of California - San Diego, California",,NDA,NDA
"Riverside School District, Pennsylvania",,NDA,NDA
"Fremont Unified School District, California",,NDA,NDA
"Little Falls City School District, New York",,NDA,NDA
"Cinnaminson Township School District, New Jersey",,NDA,NDA
"Hopewell Area School District, Pennsylvania",,NDA,NDA
"City of Lawrence, Massachusetts",,NDA,NDA
"New Prague Area Schools District No. 721, Minnesota",,NDA,NDA
"City of Frisco, Texas",,NDA,NDA
"Passaic City School District, New Jersey",,NDA,NDA
"Luzerne Intermediate Unit 18, Pennsylvania",,NDA,NDA
"Valley Central School District, New York",,NDA,NDA
"Rowland Unified School District, California",,NDA,NDA
"Mountainair Public School District, New Mexico",,NDA,NDA
"Cayuga-Onondaga BOCES, New York",,NDA,NDA
"Webutuck Central School District, New York",,NDA,NDA
"Vandercook Lake Public Schools, Michigan",,NDA,NDA
"Duncanville Independent School District, Texas",,NDA,NDA
"Burnt Hills-Ballston Lake Central School District, New York",,NDA,NDA
"West Islip Public Schools, New York",,NDA,NDA
"Northwest Regional Education Service District, Oregon",,NDA,NDA
"Delaware County Intermediate Unit, Pennsylvania",,NDA,NDA
"Canfield Local School District, Ohio",,NDA,NDA
"Lee County Sheriff's Office, Florida",,NDA,NDA
"SUNY Nassau Community College, New York",,NDA,NDA
"Prosper Independent School District, Texas",,NDA,NDA
"Northwest Independent School District, Texas",,NDA,NDA
"Educational Serv Unit 10, Nebraska",,NDA,NDA
"Frankfort Community Consolidated School District No. 157-C, Illinois",,NDA,NDA
"Dubuque Community Schools, Iowa",,NDA,NDA
"Jamestown School Department, Rhode Island",,NDA,NDA
"Moreno Valley Unified School District, California",,NDA,NDA
"Chehalis School District, Washington",,NDA,NDA
